,Date,LocationStart,LocationEnd,Distance,TimeStart,TimeEnd,MPH
93,2017-05-22,8528 Foxborough,Savage Library,1.5,,,
94,2017-05-22,Savage Library,8528 Foxborough,1.5,,,
95,2017-05-20,8528 Foxborough,Rock Creek Pool,24.3,,,
96,2017-05-20,City Bikes,DC,12.93,,,
97,2017-05-20,DC,Union Station,2.9,,,
98,2017-05-20,Union Station,8528 Foxborough,25.78,,,
99,2017-05-16,8528 Foxborough,PC,10.8,06:47,07:33,14.02
100,2017-05-16,PC,8528 Foxborough,10.8,16:10,16:56,14.02
101,2017-05-14,8528 Foxborough,Savage Library,1.5,,,
102,2017-05-14,Savage Library,8528 Foxborough,1.5,,,
103,2017-05-09,8528 Foxborough,PC,10.8,06:59,07:44,14.33
104,2017-05-09,PC,8528 Foxborough,10.8,16:17,17:04,13.72
105,2017-05-04,8528 Foxborough,PC,10.8,06:46,07:35,13.16
106,2017-05-03,8528 Foxborough,PC,10.8,07:08,07:57,13.16
107,2017-05-03,PC,8528 Foxborough,10.8,16:43,17:31,13.44
108,2017-05-02,PC,8528 Foxborough,10.8,16:13,17:02,13.16
109,2017-05-01,8528 Foxborough,PC,10.8,06:49,07:34,14.33
110,2017-05-01,PC,8528 Foxborough,10.8,16:11,16:53,15.36
111,2017-04-30,8528 Foxborough,Savage Library,1.5,,,
112,2017-04-30,Savage Library,8528 Foxborough,1.5,,,
113,2017-04-26,8528 Foxborough,PC,10.8,06:47,07:31,14.66
114,2017-04-26,PC,8528 Foxborough,10.8,,,
115,2017-04-23,8528 Foxborough,8528 Foxborough,39.6,14:30,17:30,13.21
116,2017-04-21,8528 Foxborough,PC,10.8,06:54,07:43,13.16
117,2017-04-20,PC,8528 Foxborough,10.8,15:58,16:41,15.0
118,2017-04-19,8528 Foxborough,PC,10.8,06:50,07:34,14.66
119,2017-04-19,PC,8528 Foxborough,10.8,16:08,16:52,14.66
120,2017-04-17,8528 Foxborough,Savage Library,1.5,,,
121,2017-04-17,Savage Library,8528 Foxborough,1.5,,,
122,2017-04-13,8528 Foxborough,PC,10.8,06:50,07:34,14.66
123,2017-04-12,PC,8528 Foxborough,10.8,16:02,17:02,10.75
124,2017-04-11,8528 Foxborough,PC,10.8,06:50,07:34,14.66
